D5AR,"Jobs within 45 minutes auto travel time, time- decay (network travel time) weighted"
D5AE,"Working age population within 45 minutes auto travel time, time-decay (network travel time) weighted"
D5BR,"Jobs within 45-minute transit commute, distance decay (walk network travel time, GTFS schedules) weighted"
D5BE,"Working age population within 45-minute transit commute, time decay (walk network travel time, GTFS schedules) weighted"
NatWalkInd,"Walkability index comprised of weighted sum of the ranked values of [D2a_EpHHm] (D2A_Ranked),[D2b_E8MixA] (D2B_Ranked), [D3b] (D3B_Ranked)
and [D4a] (D4A_Ranked) "
Shape_Length,
Shape_Area,
geometry,
ACCESS2,Current lack of health insurance among adults aged 18â€“64 Years
ARTHRITIS,Arthritis among adults aged >=18 Years
BINGE,Binge drinking among adults aged >=18 Years
BPHIGH,High blood pressure among adults aged >=18 Years
BPMED,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure
CANCER,Cancer (excluding skin cancer) among adults aged >=18 Years
CASTHMA,Current asthma among adults aged >=18 Years
CHD,Coronary heart disease among adults aged >=18 Years
CHECKUP,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years
CHOLSCREEN,Cholesterol screening among adults aged >=18 Years
COLON_SCREEN,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50â€“75 Years"
COPD,Chronic obstructive pulmonary disease among adults aged >=18 Years
COREM,"Older adult men aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening"
COREW,"Older adult women aged >=65 Years who are up to date on a core set of clinical preventive services: Flu shot past Year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 Years"
CSMOKING,Current smoking among adults aged >=18 Years
DENTAL,Visits to dentist or dental clinic among adults aged >=18 Years
DIABETES,Diagnosed diabetes among adults aged >=18 Years
HIGHCHOL,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years
KIDNEY,Chronic kidney disease among adults aged >=18 Years
LPA,No leisure-time physical activity among adults aged >=18 Years
MAMMOUSE,Mammography use among women aged 50â€“74 Years
MHLTH,Mental health not good for >=14 days among adults aged >=18 Years
OBESITY,Obesity among adults aged >=18 Years
PAPTEST,Papanicolaou smear use among adult women aged 21â€“65 Years
PHLTH,Physical health not good for >=14 days among adults aged >=18 Years
SLEEP,Sleeping less than 7 hours among adults aged >=18 Years
STROKE,Stroke among adults aged >=18 Years
TEETHLOST,All teeth lost among adults aged >=65 Years
Income,Income
